"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280766002899214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318913557640955
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0.00279240100709545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0.00279240100709545,0,0,0,0,0,0,0.00285343709468223,0.00315861753261616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0.00320439459830625,0,0,0,0,0.00280766002899214,0,0,0.00288395513847562,0,0,0,0,0,0.00279240100709545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0.00292973220416571,0,0.00314335851071946,0,0.00283817807278553,0,0,0,0,0.00302128633554589,0,0,0,0.00283817807278553,0,0,0,0.00309758144502937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0.0029907682917525,0,0,0,0,0,0,0,0.00321965362020294,0,0.00279240100709545,0.00279240100709545,0.00283817807278553,0.00314335851071946,0,0,0.00289921416037232,0.00296025024795911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347905699244678,0.00305180437933928,0.00332646677347982,0.00292973220416571,0,0.00318913557640955,0,0,0.00282291905088884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0.00282291905088884,0,0,0.00288395513847562,0,0,0,0.0030060273136492,0.00292973220416571,0.00308232242313268,0.00289921416037232,0.00314335851071946,0.00347905699244678,0.00282291905088884,0.00309758144502937,0,0,0.00303654535744259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0.00282291905088884,0,0.00288395513847562,0.0034027618829633,0.00302128633554589,0.00318913557640955,0.0038452735179675,0.00354009308003357,0.00294499122606241,0.00381475547417411,0,0.00315861753261616,0.00332646677347982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0.00335698481727321,0.00337224383916991,0.00364690623331044,0.0038452735179675,0.00350957503624018,0.00361638818951705,0.00349431601434348,0.00373846036469062,0.00341802090486,0.00337224383916991,0.00303654535744259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
